City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,yurga,55.7231,84.8861,-2.22,48,99,4.03,RU,1712917109
210,neftcala,39.3742,49.2472,15.54,62,0,7.29,AZ,1712917109
211,laguna,38.421,-121.4238,17.02,74,0,3.09,US,1712917110
212,usogorsk,63.4106,48.6872,2.04,97,100,5.72,RU,1712917110
213,las parejas,-32.6848,-61.5164,13.71,74,100,4.29,AR,1712917110
214,jalqani,12.4486,34.2186,38.62,7,8,3.68,SD,1712917110
215,sao joao da barra,-21.6403,-41.0511,25.05,87,30,2.96,BR,1712917111
216,aykhal,66.0,111.5,-15.37,80,100,3.59,RU,1712917111
217,meybod,32.2501,54.0166,21.97,23,48,3.24,IR,1712917111
218,cochin,9.9399,76.2602,35.99,69,86,4.82,IN,1712916825
219,coquimbo,-29.9533,-71.3436,15.0,80,100,3.34,CL,1712916796
220,hithadhoo,-0.6,73.0833,25.67,91,99,12.0,MV,1712917112
221,san patricio,28.017,-97.5169,21.05,66,82,3.32,US,1712917112
222,adrar,20.5022,-10.0711,33.5,10,0,8.8,MR,1712917113
223,argo,37.6333,22.7333,23.59,38,3,9.34,GR,1712917113
224,vilyuysk,63.7553,121.6247,-11.67,73,100,3.58,RU,1712917113
225,deggingen,48.5971,9.7189,19.04,57,60,1.06,DE,1712917113
226,amli,20.2833,73.0167,33.41,31,17,6.66,IN,1712917113
227,samalut,28.3121,30.7101,28.14,22,52,6.32,EG,1712917114
228,holualoa,19.6228,-155.9522,24.93,83,100,3.6,US,1712916829
229,mili,6.0815,171.735,26.93,87,100,8.53,MH,1712916922
230,kushk,33.2957,61.9522,24.05,36,30,6.07,AF,1712917114
231,annau,37.8876,58.516,13.76,85,100,1.17,TM,1712916922
232,leongatha,-38.4833,145.95,13.52,93,100,0.94,AU,1712917115
233,ta`u,-14.2336,-169.5144,29.42,78,40,5.76,AS,1712917115
234,queenstown,-31.8976,26.8753,16.17,29,4,1.03,ZA,1712916909
235,puerto lempira,15.2667,-83.7667,25.6,84,49,2.92,HN,1712917116
236,grantsville,40.5999,-112.4644,14.9,44,18,4.79,US,1712917116
237,long beach,33.767,-118.1892,14.05,93,100,1.79,US,1712917116
238,klaipeda,55.7172,21.1175,7.03,91,100,8.69,LT,1712917116
239,banda aceh,5.5577,95.3222,30.04,68,100,0.85,ID,1712917117
240,galesong,-5.3166,119.3661,27.01,75,86,0.89,ID,1712917117
241,ciechocinek,52.8791,18.7951,19.2,59,100,5.25,PL,1712917117
242,kourou,5.1552,-52.6478,28.03,90,97,3.33,GF,1712917117
243,navrongo,10.8956,-1.0921,36.97,33,75,4.77,GH,1712916978
244,itaituba,-4.2761,-55.9836,23.49,100,99,0.59,BR,1712916955
245,belle fourche,44.6714,-103.8522,5.6,52,7,1.83,US,1712917118
246,palmer,42.1584,-72.3287,16.78,79,100,9.26,US,1712917118
247,polyarnyy,69.1989,33.4478,-0.74,84,100,4.27,RU,1712917118
248,suva,-18.1416,178.4415,25.71,94,40,1.54,FJ,1712917119
249,aleksandriyskaya,44.2272,43.3453,24.35,36,0,6.02,RU,1712917119
250,jatai,-17.8814,-51.7144,20.91,92,100,0.98,BR,1712916867
251,ajaigarh,24.9,80.2667,36.04,18,94,4.79,IN,1712917120
252,punta del este,-34.9667,-54.95,16.04,74,75,0.89,UY,1712917120
253,ishigaki,24.3448,124.1572,25.11,87,6,4.97,JP,1712917120
254,mapastepec,15.4333,-92.9,24.92,41,59,3.32,MX,1712917120
255,jinjiang,24.8198,118.5741,23.9,70,48,3.82,CN,1712917120
256,tual,-5.6667,132.75,28.24,78,80,4.19,ID,1712917121
257,luga,58.7372,29.8453,9.73,79,99,5.14,RU,1712917121
258,guerrero negro,27.9769,-114.0611,15.5,85,100,3.3,MX,1712917121
259,nagua,19.3832,-69.8474,22.79,93,87,1.88,DO,1712917121
260,colonia,50.9333,6.95,17.94,75,100,3.09,DE,1712916828
261,amga,60.8953,131.9608,-5.84,88,100,3.98,RU,1712917122
262,ruston,32.5232,-92.6379,8.9,87,0,0.0,US,1712916571
263,ilhabela,-23.7781,-45.3581,23.46,90,97,0.67,BR,1712917122
264,quelimane,-17.8786,36.8883,23.75,85,100,4.34,MZ,1712917122
265,navia,43.5354,-6.7194,26.44,49,1,0.79,ES,1712917122
266,saldanha,-33.0117,17.9442,18.22,47,4,4.24,ZA,1712917123
267,yeraliyev,43.2,51.65,19.28,22,14,5.89,KZ,1712917123
268,ola,59.5833,151.2833,-4.37,91,54,0.49,RU,1712917123
269,hasaki,35.7333,140.8333,16.27,85,100,7.36,JP,1712917123
270,howrah,22.5892,88.3103,34.0,38,40,3.09,IN,1712917124
271,auki,-8.7676,160.7034,25.87,83,100,1.43,SB,1712916922
272,kavaratti,10.5669,72.642,29.44,68,30,3.13,IN,1712917124
273,jining,35.405,116.5814,23.44,56,0,4.61,CN,1712917124
274,jalpatagua,14.1417,-90.0086,23.6,70,100,4.84,GT,1712917125
275,eydhafushi,5.1033,73.0708,29.39,74,70,2.89,MV,1712917125
276,baijiantan,45.6333,85.1833,9.59,31,38,16.3,CN,1712917125
277,mount pearl,47.5166,-52.7813,1.19,88,75,11.32,CA,1712917125
278,zheshart,62.0731,49.5733,4.94,85,100,5.37,RU,1712917126
279,sumberpucung,-8.1586,112.4829,25.73,88,94,1.99,ID,1712917126
280,broome,42.2506,-75.833,17.96,91,100,8.75,US,1712917126
281,berdigestyakh,62.0989,126.6992,-13.35,85,96,3.04,RU,1712917127
282,sakakah,29.9697,40.2064,28.76,20,0,0.81,SA,1712917127
283,emerald,-23.5333,148.1667,21.86,42,2,4.06,AU,1712917127
284,itoman,26.1247,127.6694,22.43,88,75,3.6,JP,1712917128
285,dunedin,-45.8742,170.5036,8.22,91,99,1.87,NZ,1712916974
286,bafq,31.6128,55.4107,24.76,19,29,7.02,IR,1712917128
287,iskateley,67.6803,53.1512,-9.43,94,100,8.05,RU,1712917128
288,nabire,-3.3667,135.4833,25.71,92,100,1.62,ID,1712917129
289,kudahuvadhoo,2.6708,72.8944,29.53,69,61,0.97,MV,1712917129
290,isangel,-19.55,169.2667,25.24,91,96,5.29,VU,1712917129
291,al burayqah,30.4062,19.5739,22.63,42,6,3.45,LY,1712917129
292,mar del plata,-38.0023,-57.5575,13.94,74,75,2.68,AR,1712916417
293,linhares,-19.3911,-40.0722,23.61,90,4,2.46,BR,1712916830
294,howard springs,-12.497,131.047,28.95,90,100,1.77,AU,1712917130
295,valdivia,-39.8142,-73.2459,5.13,95,0,1.17,CL,1712916955
296,saipan,15.1355,145.701,27.39,83,20,5.66,MP,1712917131
297,tobati,-25.25,-57.0667,23.9,98,29,1.29,PY,1712917131
298,flying fish cove,-10.4217,105.6791,28.82,78,40,4.63,CX,1712916922
299,gebeit,21.0667,36.3167,30.37,14,3,3.44,SD,1712917132
300,tayshet,55.9342,98.0044,-0.4,74,100,3.73,RU,1712917132
301,bandon,51.7469,-8.7425,10.77,88,100,6.86,IE,1712917132
302,morehead city,34.7229,-76.726,19.0,81,100,10.29,US,1712916941
303,coahuayana de hidalgo,18.7,-103.6583,21.56,76,2,1.48,MX,1712917133
304,sierra grande,-41.606,-65.3557,9.44,84,99,3.1,AR,1712917133
305,tateyama,34.9833,139.8667,15.61,86,100,5.39,JP,1712917133
306,sungai raya,0.7,108.9,27.38,85,93,2.12,ID,1712917134
307,sanibel,26.449,-82.0223,21.13,78,11,1.34,US,1712917112
308,weno,7.4515,151.8468,27.97,94,100,3.6,FM,1712917134
309,broken hill,-31.95,141.4333,17.14,40,100,3.15,AU,1712917134
310,san rafael del yuma,18.4299,-68.6739,25.76,88,18,4.5,DO,1712917135
311,naze,28.3667,129.4833,19.51,90,100,5.87,JP,1712917135
312,quepos,9.4236,-84.1652,26.77,73,77,1.67,CR,1712917135
